Gene,Average,Std_Dev
ST3GAL3,"8,772939511197153","0,10572955979732884"
IPO13,"9,527222626213305","0,16636170494130528"
DPH2,"7,621275771156428","0,10515703339393802"
ATP6V0B,"9,780340652909926","0,1173856980376846"
B4GALT2,"9,69659151037077","0,1824968772127346"
CCDC24,"7,844555396209759","0,10875073141796342"
KLF17,"6,684226804585938","0,10641495911334611"
DMAP1,"8,885277698694823","0,10456040994593674"
RNF220,"10,338317021176305","0,11040647166391224"
ARMH1,"7,814755238584288","0,1264986739845835"
KIF2C,"6,16195315284421","0,11802674006934337"
SNORD55,"7,967553817626831","0,10408714703149645"
SNORD46,"9,595272970784448","0,17578091795124617"
SNORD38A,"6,281055093560348","0,20057055894411233"
PLK3,"7,491205529884718","0,18165133998826263"
UROD,"9,579944967092716","0,08776006450503095"
HPDL,"6,982602618486637","0,13623295280259262"
TOE1,"8,161961532025117","0,0821510928511432"
MMACHC,"7,90571774449031","0,10761836614671783"
AKR1A1,"8,787742565963498","0,1307355759452438"
NASP,"7,65286529754503","0,08383821627435721"
TMEM69,"9,070443560433848","0,09141103439239154"
MAST2,"9,20788818750165","0,09764696827560199"
TSPAN1,"6,453171006771733","0,19091043349595427"
LURAP1,"8,50906087586252","0,11901553788393585"
RAD54L,"6,524262405294051","0,08284671014055424"
UQCRH,"7,907716066421463","0,22172370204885306"
NSUN4,"8,492118867297087","0,15501738948901975"
FAAH,"8,401027622888877","0,09098824616191223"
DMBX1,"7,531294226770377","0,09019537885631594"
CYP4B1,"6,839667006179385","0,11136046479864259"
CYP4X1,"9,807128234378576","0,2513596300558324"
CYP4Z1,"7,239439086911126","0,20807023734639496"
CYP4A22,"6,1951277276637775","0,13186789705137347"
CMPK1,"9,71082860392824","0,08595432291530805"
FOXE3,"8,768328409068456","0,10121493892571053"
FOXD2,"7,017082258252035","0,08087287390114199"
SLC5A9,"6,295777573100971","0,09466883260571435"
STRADB,"9,971035568909379","0,11238483779416392"
ELAVL4,"9,409669119445573","0,32570911842184425"
CDKN2C,"6,262761984562298","0,12176110761780007"
RNF11,"9,52145826922323","0,11606046325701498"
OSBPL9,"9,673076584510879","0,16661916280821915"
BTF3L4,"10,195642089723208","0,1377921650676568"
ZFYVE9,"8,846765458153529","0,20817158771327207"
PRPF38A,"9,396027242864987","0,10383724194920252"
GPX7,"7,695603023152327","0,10162464702002795"
SHISAL2A,"6,773467236162458","0,12205060529282585"
ZYG11B,"10,190692341258861","0,156261685621407"
SCP2,"9,517389474776646","0,09486005276415982"
PODN,"8,459967236591998","0,22495941526377172"
CPT2,"7,4445992793322695","0,17482012939408445"
DMRTB1,"7,804562480485354","0,11375233032108903"
LRRC42,"8,283009298905021","0,09625048376231783"
TCEANC2,"7,547549219730867","0,1022201498650307"
MRPL37,"9,954413170289774","0,09045265397227195"
